epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0833,1.15756,4.85246,1.14364,0.16051,0.11927,0.03078,0.02213,1.29274,3.44134,1.14335,0.000118393,0.000118393,0.000118393
2,76.6799,1.1675,4.049,1.12922,0.25517,0.13515,0.07193,0.05196,1.28088,3.10775,1.13584,0.000213891,0.000213891,0.000213891
3,112.251,1.14242,3.68495,1.11843,0.16434,0.18807,0.0832,0.06134,1.2705,2.95375,1.10579,0.000285827,0.000285827,0.000285827
4,147.437,1.12728,3.35958,1.09437,0.13172,0.17322,0.10625,0.07619,1.25364,2.83537,1.11003,0.000250971,0.000250971,0.000250971
5,182.962,1.07759,3.12675,1.07845,0.24701,0.23233,0.13432,0.10046,1.25625,2.76103,1.11635,0.000215628,0.000215628,0.000215628
6,218.544,1.04432,2.87177,1.06015,0.23383,0.2348,0.15702,0.1133,1.21839,2.62922,1.08176,0.000180285,0.000180285,0.000180285
7,253.58,1.03298,2.71987,1.04408,0.2221,0.23403,0.15563,0.1159,1.23084,2.6347,1.09355,0.000144942,0.000144942,0.000144942
8,288.98,0.99404,2.53717,1.02715,0.21493,0.21835,0.15412,0.11414,1.20226,2.55773,1.08176,0.000109599,0.000109599,0.000109599
9,324.232,0.97977,2.42677,1.01007,0.21597,0.2404,0.16177,0.12158,1.20741,2.56137,1.07886,7.4256e-05,7.4256e-05,7.4256e-05
10,359.435,0.94536,2.30674,0.99747,0.24285,0.22073,0.17272,0.13207,1.19126,2.50466,1.0799,3.8913e-05,3.8913e-05,3.8913e-05
