epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4958,1.19452,2.55747,3.53647,1.19513,0,0.2856,0.11608,0.0698,0.04723,0.2976,0.11316,0.06663,0.03785,1.44941,3.14971,2.52788,1.23322,0,0.000329932,0.000329932,0.000329932
2,159.544,1.27203,2.4703,2.3169,1.20744,0,0.25019,0.1549,0.10457,0.07051,0.24601,0.15407,0.10161,0.07052,1.3911,2.63089,3.84205,1.21761,0,0.000659223,0.000659223,0.000659223
3,237.011,1.33064,2.52136,2.30252,1.23259,0,0.25507,0.093,0.06011,0.03865,0.25492,0.0924,0.05802,0.03686,1.4366,2.63132,4.09603,1.22375,0,0.000972454,0.000972454,0.000972454
4,314.249,1.36665,2.58271,2.29034,1.25523,0,0.27664,0.1408,0.07089,0.04431,0.27865,0.13632,0.07035,0.0429,1.43135,2.66657,2.62122,1.21895,0,0.000946048,0.000946048,0.000946048
5,392.06,1.31835,2.50531,2.23658,1.23542,0,0.15559,0.18645,0.09463,0.06739,0.3268,0.18377,0.0992,0.06261,1.38474,2.42077,2.37918,1.23033,0,0.000905463,0.000905463,0.000905463
6,470.01,1.25229,2.37575,2.09296,1.19587,0,0.30389,0.14779,0.11397,0.07746,0.30526,0.14756,0.10985,0.07107,1.30421,2.37514,3.25134,1.16318,0,0.000855018,0.000855018,0.000855018
7,547.685,1.21046,2.30919,2.0449,1.16604,0,0.43019,0.21294,0.14891,0.1052,0.40701,0.20473,0.13962,0.097,1.30015,2.38825,2.41562,1.19305,0,0.000795954,0.000795954,0.000795954
8,625.196,1.18084,2.25381,1.98108,1.15657,0,0.25391,0.19479,0.13891,0.08971,0.24652,0.19315,0.13292,0.08163,1.32456,2.42644,2.27099,1.15361,0,0.000729725,0.000729725,0.000729725
9,702.419,1.13211,2.19934,1.87941,1.13832,0,0.23143,0.24088,0.15095,0.10131,0.22314,0.23074,0.14357,0.0896,1.23348,2.26917,2.03559,1.1421,0,0.000657963,0.000657963,0.000657963
10,779.821,1.12055,2.12745,1.79802,1.11563,0,0.29441,0.22243,0.19182,0.13573,0.28699,0.2176,0.18392,0.12611,1.22549,2.23547,1.98043,1.14099,0,0.000582435,0.000582435,0.000582435
11,858.768,1.00536,1.8052,1.66717,1.06119,0,0.24189,0.26824,0.18973,0.13385,0.24469,0.25712,0.18416,0.12617,1.23471,2.23223,2.06175,1.1209,0,0.000505,0.000505,0.000505
12,934.069,0.97302,1.71951,1.51313,1.03696,0,0.26758,0.26396,0.18438,0.12739,0.26232,0.256,0.17519,0.11795,1.17744,2.22416,1.96067,1.10552,0,0.000427565,0.000427565,0.000427565
13,1009.12,0.94737,1.6591,1.42812,1.02143,0,0.25958,0.27348,0.18663,0.13207,0.26677,0.26107,0.18245,0.12453,1.14643,2.16709,1.93327,1.09873,0,0.000352037,0.000352037,0.000352037
14,1084.16,0.89726,1.55859,1.31789,0.99487,0,0.24131,0.25019,0.1895,0.1338,0.28973,0.19689,0.17942,0.11953,1.17756,2.16296,1.92584,1.12206,0,0.000280275,0.000280275,0.000280275
15,1159.37,0.86658,1.49434,1.2036,0.98215,0,0.2674,0.26059,0.20045,0.14494,0.26637,0.24927,0.1905,0.13248,1.16803,2.10305,1.85058,1.12013,0,0.000214046,0.000214046,0.000214046
16,1233.91,0.83587,1.41436,1.10114,0.95829,0,0.30728,0.23163,0.18804,0.13234,0.29832,0.22471,0.17895,0.12355,1.17235,2.12376,1.93448,1.12453,0,0.000154982,0.000154982,0.000154982
17,1308.78,0.80508,1.38974,1.04091,0.95002,0,0.24154,0.2875,0.20952,0.15113,0.23198,0.27205,0.20138,0.13782,1.14914,2.1545,1.82334,1.10932,0,0.000104537,0.000104537,0.000104537
18,1383.61,0.78274,1.33807,0.97298,0.93854,0,0.33035,0.23623,0.20449,0.14699,0.31962,0.22862,0.19656,0.13792,1.1401,2.17218,1.87819,1.09905,0,6.39518e-05,6.39518e-05,6.39518e-05
19,1458.32,0.77283,1.34028,0.93851,0.93382,0,0.24091,0.25451,0.2003,0.14487,0.30925,0.20526,0.1925,0.13384,1.13371,2.14903,1.89979,1.10642,0,3.4227e-05,3.4227e-05,3.4227e-05
20,1533.09,0.76319,1.30373,0.90004,0.9298,0,0.24454,0.26348,0.19937,0.1417,0.28796,0.20883,0.19094,0.13213,1.14142,2.16058,1.89761,1.10985,0,1.60943e-05,1.60943e-05,1.60943e-05
