epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,703.794,1.23577,2.19868,1.45585,0.53445,0.40093,0.3924,0.25676,1.18583,1.70791,1.51384,0.000237801,0.000237801,0.000237801
2,1398.38,1.2526,1.69199,1.48139,0.58762,0.46729,0.49967,0.34653,1.11798,1.48184,1.41199,0.000464273,0.000464273,0.000464273
3,2088.27,1.22625,1.58263,1.46041,0.58118,0.4653,0.502,0.35638,1.08382,1.44633,1.38607,0.00064632,0.00064632,0.00064632
4,2777.58,1.18344,1.46151,1.42788,0.6619,0.51371,0.54895,0.40146,1.00888,1.23908,1.30751,0.000568311,0.000568311,0.000568311
5,3467.79,1.12597,1.30145,1.38015,0.68783,0.55437,0.6257,0.46726,0.95228,1.07638,1.2788,0.000469786,0.000469786,0.000469786
6,4156.15,1.0737,1.18935,1.34201,0.74618,0.57864,0.66216,0.50336,0.92023,0.99567,1.23528,0.00036057,0.00036057,0.00036057
7,4845.15,1.02907,1.07194,1.30516,0.75536,0.61138,0.69029,0.53097,0.88838,0.91755,1.20176,0.000251354,0.000251354,0.000251354
8,5535.41,0.9882,0.97439,1.27389,0.78309,0.62975,0.71338,0.55273,0.85311,0.85495,1.17097,0.000152829,0.000152829,0.000152829
9,6225.35,0.96006,0.89454,1.24616,0.79318,0.64017,0.72452,0.5684,0.83367,0.81917,1.15431,7.46391e-05,7.46391e-05,7.46391e-05
10,6916.06,0.93547,0.85435,1.23075,0.79389,0.64838,0.72942,0.57433,0.8236,0.80873,1.14647,2.44381e-05,2.44381e-05,2.44381e-05
