epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,935.485,1.43441,10.5835,0.01817,0.52864,0.38363,0.39654,0.23738,1.38364,5.81481,0.02599,0.00998325,0.00332775,0.00998325,0.00332775,0.00998325,0.00332775,0.00998325,0.00332775
2,2139.5,1.46383,6.82442,0.01847,0.52442,0.38507,0.38607,0.22287,1.48321,7.43976,0.02939,0.0189941,0.00633136,0.0189941,0.00633136,0.0189941,0.00633136,0.0189941,0.00633136
3,2903.61,1.55921,6.61324,0.02028,0.2781,0.18748,0.11043,0.05091,1.90848,18.3111,0.04472,0.0270149,0.00900497,0.0270149,0.00900497,0.0270149,0.00900497,0.0270149,0.00900497
4,4101.26,1.61358,6.69747,0.02139,0.64333,0.44415,0.49719,0.26852,1.64459,5.12755,0.03474,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,4858.13,1.57682,6.20876,0.0206,0.65704,0.50802,0.56015,0.35199,1.4422,4.29435,0.02913,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,5683.39,1.5491,5.99564,0.02009,0.68931,0.50147,0.5681,0.37506,1.34397,4.30496,0.02571,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,6434.13,1.53691,5.75049,0.01962,0.69295,0.54382,0.61296,0.3936,1.35703,4.00743,0.02579,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,7250.33,1.50858,5.54628,0.01933,0.73472,0.56927,0.64776,0.43068,1.2957,3.78146,0.02489,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,7965.74,1.4963,5.38788,0.01902,0.72281,0.56561,0.64235,0.44532,1.21435,3.69795,0.02215,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,9071.28,1.48007,5.26855,0.01858,0.74118,0.57747,0.65582,0.44904,1.25372,3.55302,0.02321,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,10050.3,1.40479,4.42913,0.0206,0.76985,0.59446,0.68718,0.48459,1.18526,3.31322,0.02091,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,11048,1.37363,4.16535,0.01964,0.78043,0.60451,0.69773,0.50447,1.1298,3.19733,0.01957,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,12105.1,1.35598,4.00745,0.01893,0.7964,0.61877,0.71165,0.50735,1.15745,3.1175,0.02031,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,12979.9,1.33246,3.83759,0.01865,0.81146,0.62496,0.72806,0.5316,1.08654,2.94134,0.01834,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,13716.4,1.31487,3.66329,0.01814,0.81344,0.64195,0.73273,0.54509,1.06017,2.871,0.01767,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,14536.7,1.2843,3.48986,0.01749,0.8133,0.65357,0.74535,0.5578,1.0452,2.81143,0.01724,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,15324.5,1.25784,3.37366,0.01707,0.81027,0.65883,0.74685,0.56156,1.02827,2.80596,0.01678,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,16198.9,1.24614,3.20993,0.01648,0.8176,0.66095,0.75305,0.56651,1.02269,2.76465,0.01668,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,16869.8,1.2174,3.10017,0.01609,0.81353,0.66769,0.75412,0.57121,1.01259,2.7609,0.01638,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,17591.6,1.20662,3.0067,0.01569,0.81656,0.66696,0.75663,0.5737,1.01181,2.74205,0.01627,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
