epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9156,1.05911,4.47619,1.11417,0.2028,0.19808,0.09393,0.07273,1.10524,2.90962,1.08886,0.000118393,0.000118393,0.000118393
2,110.28,1.01831,2.79952,1.07232,0.26566,0.17353,0.11853,0.08955,1.18958,2.9037,1.13277,0.000232692,0.000232692,0.000232692
3,165.183,1.05178,2.50177,1.07969,0.29966,0.18908,0.13187,0.09603,1.17816,2.75171,1.11959,0.00034228,0.00034228,0.00034228
4,219.682,1.03546,2.33535,1.07523,0.29241,0.22752,0.15801,0.1123,1.23564,2.67362,1.16258,0.000335794,0.000335794,0.000335794
5,274.159,1.03546,2.19549,1.07554,0.22647,0.18059,0.13315,0.10067,1.22407,2.72942,1.14432,0.000328726,0.000328726,0.000328726
6,328.432,0.99487,2.00137,1.06838,0.24593,0.20579,0.1518,0.11599,1.19269,2.57184,1.15152,0.000321657,0.000321657,0.000321657
7,383.515,0.97512,1.88834,1.04447,0.28198,0.24391,0.19774,0.14979,1.17391,2.556,1.12409,0.000314588,0.000314588,0.000314588
8,438.269,0.96207,1.7794,1.03732,0.27012,0.21872,0.15542,0.11131,1.20532,2.61608,1.13698,0.00030752,0.00030752,0.00030752
9,492.827,0.93757,1.68216,1.0251,0.23654,0.21972,0.1505,0.11664,1.17965,2.82091,1.12559,0.000300451,0.000300451,0.000300451
10,547.098,0.92084,1.57147,1.01727,0.25977,0.24838,0.1708,0.12925,1.15519,2.66456,1.11417,0.000293383,0.000293383,0.000293383
11,601.521,0.90268,1.49662,1.00397,0.26806,0.21289,0.17823,0.13377,1.16595,2.5714,1.12469,0.000286314,0.000286314,0.000286314
12,655.935,0.87683,1.40762,0.99636,0.22846,0.22005,0.16894,0.13074,1.1721,2.625,1.11847,0.000279245,0.000279245,0.000279245
13,710.352,0.85247,1.31206,0.98076,0.31389,0.22301,0.17568,0.13941,1.12634,2.66224,1.10029,0.000272177,0.000272177,0.000272177
14,764.767,0.8611,1.27411,0.9834,0.26278,0.25769,0.1897,0.14371,1.16194,2.68155,1.12801,0.000265108,0.000265108,0.000265108
15,819.256,0.83909,1.2366,0.97494,0.29058,0.20582,0.16501,0.1274,1.15427,2.7402,1.12078,0.00025804,0.00025804,0.00025804
16,873.758,0.81315,1.12665,0.9619,0.20789,0.2301,0.16081,0.1246,1.17211,2.73666,1.1326,0.000250971,0.000250971,0.000250971
17,928.265,0.81185,1.10256,0.9572,0.30966,0.22456,0.17579,0.13794,1.15095,2.81213,1.10967,0.000243902,0.000243902,0.000243902
18,982.782,0.81966,1.07873,0.95988,0.25207,0.21914,0.1734,0.12535,1.17047,2.78623,1.12873,0.000236834,0.000236834,0.000236834
19,1037.37,0.79798,1.02144,0.95448,0.25912,0.23961,0.16325,0.12027,1.1676,2.77886,1.13842,0.000229765,0.000229765,0.000229765
