epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1674.79,1.40113,6.98113,1.58561,0.53273,0.41286,0.43661,0.24946,1.54225,5.28405,1.68325,0.000255904,0.000255904,0.000255904
2,3414.91,1.40765,5.08147,1.6049,0.55058,0.40609,0.4319,0.23713,1.54169,5.49683,1.71005,0.000461526,0.000461526,0.000461526
3,5045.41,1.40015,4.86234,1.60373,0.59806,0.45183,0.48483,0.26371,1.58191,4.83631,1.7267,0.000616394,0.000616394,0.000616394
4,6656.21,1.35882,4.47746,1.56985,0.66588,0.50047,0.5502,0.33042,1.44115,4.22664,1.61548,0.000540607,0.000540607,0.000540607
5,8387.32,1.30084,4.03899,1.52691,0.70567,0.54067,0.62281,0.38254,1.3859,3.54881,1.56019,0.000464476,0.000464476,0.000464476
6,10050.9,1.25695,3.71075,1.48546,0.73036,0.56943,0.64252,0.40855,1.30327,3.36353,1.47979,0.000388345,0.000388345,0.000388345
7,11772.9,1.21275,3.40674,1.45084,0.74555,0.5924,0.67404,0.45322,1.19901,3.18033,1.39401,0.000312214,0.000312214,0.000312214
8,13448.4,1.17554,3.16684,1.42573,0.77704,0.61329,0.70295,0.48056,1.14504,2.88702,1.35222,0.000236083,0.000236083,0.000236083
9,15137.6,1.14856,2.90732,1.39678,0.79182,0.63668,0.72326,0.51717,1.06273,2.68608,1.29407,0.000159952,0.000159952,0.000159952
10,16866.3,1.11449,2.70712,1.37089,0.79302,0.6527,0.73377,0.53458,1.01848,2.58601,1.26592,8.3821e-05,8.3821e-05,8.3821e-05
