epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.0548,1.18228,3.55787,1.19636,0.28593,0.15661,0.06908,0.04379,1.27917,3.50576,1.22342,0.000329932,0.000329932,0.000329932
2,110.948,1.23115,2.29389,1.20243,0.34428,0.16688,0.11049,0.07214,1.36064,3.14328,1.19392,0.000659223,0.000659223,0.000659223
3,166.029,1.29089,2.26778,1.23391,0.12798,0.13635,0.05985,0.03715,1.48659,4.892,1.31465,0.000972454,0.000972454,0.000972454
4,219.869,1.34393,2.26276,1.2624,0.30514,0.203,0.0958,0.06012,1.38941,2.66429,1.23905,0.000946048,0.000946048,0.000946048
5,273.815,1.2897,2.19774,1.23832,0.13293,0.18602,0.11983,0.08142,1.34667,2.26241,1.21119,0.000905463,0.000905463,0.000905463
6,327.626,1.2361,2.05461,1.20427,0.1592,0.20814,0.14074,0.10158,1.32778,2.42271,1.189,0.000855018,0.000855018,0.000855018
7,381.4,1.20599,2.00172,1.1879,0.133,0.20948,0.11875,0.07736,1.26797,2.57912,1.16999,0.000795954,0.000795954,0.000795954
8,435.18,1.17376,1.91786,1.17518,0.22352,0.24697,0.1299,0.08496,1.27593,2.26897,1.14865,0.000729725,0.000729725,0.000729725
9,488.896,1.12395,1.83752,1.14783,0.26316,0.21171,0.16716,0.11683,1.21987,2.00605,1.15379,0.000657963,0.000657963,0.000657963
10,542.647,1.12181,1.76322,1.13139,0.26569,0.20377,0.16295,0.11597,1.25158,2.00432,1.14214,0.000582435,0.000582435,0.000582435
11,597.431,1.00617,1.61488,1.07277,0.24226,0.27247,0.20593,0.15223,1.18174,1.95375,1.11965,0.000505,0.000505,0.000505
12,649.849,0.96526,1.4389,1.04457,0.26137,0.24869,0.18386,0.13243,1.20785,2.01271,1.12003,0.000427565,0.000427565,0.000427565
13,702.261,0.92973,1.35282,1.02981,0.27083,0.28633,0.21407,0.15755,1.17907,1.9122,1.12195,0.000352037,0.000352037,0.000352037
14,754.693,0.88721,1.2183,0.99848,0.28946,0.24394,0.20588,0.15248,1.17073,1.90526,1.11387,0.000280275,0.000280275,0.000280275
15,807.117,0.8485,1.11062,0.98461,0.32687,0.25686,0.21767,0.15967,1.18394,1.86662,1.13417,0.000214046,0.000214046,0.000214046
16,859.371,0.82344,1.01817,0.9649,0.22963,0.25341,0.19596,0.14179,1.17538,1.9025,1.14195,0.000154982,0.000154982,0.000154982
17,911.589,0.79674,0.95131,0.95686,0.28443,0.27479,0.21626,0.15779,1.15847,1.87071,1.12286,0.000104537,0.000104537,0.000104537
18,964.104,0.77919,0.89348,0.94586,0.26392,0.30136,0.2266,0.16881,1.15469,1.86503,1.1133,6.39518e-05,6.39518e-05,6.39518e-05
19,1016.38,0.76795,0.86315,0.94182,0.32268,0.31332,0.23352,0.17119,1.15252,1.87336,1.12059,3.4227e-05,3.4227e-05,3.4227e-05
20,1068.81,0.75636,0.81297,0.93718,0.29734,0.29074,0.22915,0.16822,1.15999,1.88224,1.12133,1.60943e-05,1.60943e-05,1.60943e-05
