epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,455.166,1.34849,6.24176,1.46308,0.49963,0.42337,0.4273,0.23353,1.55509,5.30473,1.57156,0.000255904,0.000255904,0.000255904
2,909.892,1.36782,4.77754,1.48911,0.58581,0.41508,0.43616,0.25322,1.46704,5.71887,1.50274,0.000461526,0.000461526,0.000461526
3,1363.8,1.37258,4.6119,1.49546,0.59755,0.43374,0.46478,0.2611,1.5561,4.79211,1.56037,0.000616394,0.000616394,0.000616394
4,1817.27,1.33293,4.23255,1.46885,0.67787,0.51193,0.56409,0.33611,1.45487,3.92418,1.47432,0.000540607,0.000540607,0.000540607
5,2270.37,1.27283,3.80901,1.42246,0.6897,0.53251,0.59752,0.37009,1.35001,3.52037,1.41835,0.000464476,0.000464476,0.000464476
6,2722.85,1.22978,3.50619,1.38939,0.70658,0.56449,0.62457,0.39562,1.32573,3.35974,1.36907,0.000388345,0.000388345,0.000388345
7,3176.02,1.18663,3.22842,1.35951,0.76091,0.60313,0.68809,0.46505,1.20255,2.96484,1.29077,0.000312214,0.000312214,0.000312214
8,3629.2,1.15034,2.9875,1.33575,0.78974,0.60483,0.69658,0.48973,1.08584,2.74176,1.22635,0.000236083,0.000236083,0.000236083
9,4082.86,1.12476,2.75191,1.30907,0.79154,0.64568,0.72158,0.52095,1.02702,2.55213,1.1858,0.000159952,0.000159952,0.000159952
10,4536.24,1.09362,2.55318,1.28567,0.80237,0.64935,0.73559,0.54235,0.97887,2.4464,1.16034,8.3821e-05,8.3821e-05,8.3821e-05
