epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1723.65,1.35936,5.40954,1.58103,0.62188,0.50292,0.5322,0.34207,1.26579,4.17929,1.51524,0.00999162,0.00333054,0.00999162,0.00333054,0.00999162,0.00333054,0.00999162,0.00333054
2,3405.05,1.35584,4.72671,1.56553,0.62889,0.50026,0.53239,0.32523,1.38722,4.56143,1.60236,0.019002,0.00633401,0.019002,0.00633401,0.019002,0.00633401,0.019002,0.00633401
3,5033.48,1.39981,5.1389,1.61891,0.56946,0.40988,0.43943,0.26674,1.38762,5.15962,1.64837,0.0270225,0.00900748,0.0270225,0.00900748,0.0270225,0.00900748,0.0270225,0.00900748
4,6659.73,1.40412,5.23588,1.63241,0.64864,0.50534,0.54609,0.3508,1.26734,3.98113,1.53297,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,8284.62,1.34855,4.72179,1.58008,0.72394,0.55428,0.62753,0.43331,1.14435,3.55016,1.43651,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,9908.69,1.30338,4.43629,1.54797,0.73795,0.57587,0.6483,0.45721,1.08743,3.17231,1.38518,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,11532.5,1.26692,4.16098,1.52111,0.77206,0.59439,0.68718,0.47891,1.12168,3.03439,1.38697,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,13167.3,1.24058,3.97582,1.49705,0.77461,0.63054,0.71047,0.51294,1.0408,2.74216,1.32743,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,14789.7,1.21923,3.8241,1.48332,0.78279,0.63447,0.72135,0.53377,0.97366,2.674,1.29134,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,16424.5,1.20984,3.67708,1.46796,0.79272,0.65436,0.73182,0.5471,0.95143,2.53721,1.26571,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,18046.6,1.10134,3.00579,1.41847,0.8071,0.65058,0.74335,0.56124,0.93102,2.44072,1.23702,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,19655,1.06924,2.82643,1.39506,0.811,0.66889,0.75547,0.57525,0.89582,2.37169,1.2202,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,21258.9,1.05679,2.68267,1.37412,0.82139,0.67026,0.76339,0.58484,0.89237,2.32632,1.21226,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,22888.6,1.03454,2.53024,1.35185,0.81906,0.68052,0.76984,0.59755,0.85826,2.25097,1.18451,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,24519.9,1.01335,2.4007,1.33684,0.81848,0.69542,0.78051,0.60603,0.86119,2.19914,1.18683,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,26141,0.98958,2.27116,1.31877,0.82199,0.70172,0.78326,0.60925,0.85592,2.17705,1.18111,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,27749.6,0.97248,2.17372,1.3006,0.82307,0.70898,0.78645,0.61338,0.84324,2.14855,1.16896,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,29358.6,0.95498,2.04424,1.28667,0.82748,0.70746,0.78862,0.6163,0.83883,2.12354,1.16519,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,30969,0.93023,1.94688,1.26976,0.83436,0.71138,0.79263,0.62256,0.83161,2.11698,1.1612,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,32590,0.91514,1.85556,1.2576,0.82973,0.71447,0.79478,0.62503,0.82634,2.11317,1.15949,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
